Coin,Closed PnL
@107,2783912.919016
HYPE,1948484.599761
SOL,1639555.927506
ETH,1319978.838852
BTC,868044.732638
MELANIA,390351.069856
ENA,217329.503554
SUI,199268.834922
ZRO,183777.783689
DOGE,147543.156534
